,Day,Spread,Pred_Total,Away Money Line,Home Money Line,Year,Week,prev_TE allowed_Favorite,prev_TE allowed_Underdog,prev_RB allowed_Favorite,prev_RB allowed_Underdog,prev_K allowed_Favorite,prev_K allowed_Underdog,prev_QB allowed_Favorite,prev_QB allowed_Underdog,prev_Total FPts allowed_Favorite,prev_Total FPts allowed_Underdog,Model_Preds,True_Gold,Model_Correct
58,2.0,-0.03206012527678729,0.027178521991638848,0.02836477749677255,-0.029097838005124232,0.0,3.0,0.008785432015783039,0.005009714167293797,0.01024863188208273,0.02588793769182212,0.0034323611603318464,0.019713204988150775,0.00833064296975794,0.010648369543142086,0.007165006005009016,0.017746402517728296,Over,Over,1
309,2.0,-0.018320071586735598,0.024707747265126225,0.017534589725277574,-0.016627336002928133,1.0,3.0,0.004847134905259608,0.00913536112859457,0.03401976416413572,0.026822038536372404,0.03089125044298661,0.022998739152842573,0.023540377482725083,0.01804138039738073,0.022983252667031058,0.0249916280084372,Over,Over,1
823,2.0,-0.03206012527678729,0.025016594105940305,0.030427670405628736,-0.027019421004758216,3.0,3.0,0.0060589186315745105,0.010608806471916277,0.013807184618917008,0.03496206018173915,0.03089125044298661,0.022998739152842573,0.014862624389227232,0.019471304307459816,0.015005087522267275,0.02460296712685059,Over,Over,1
583,2.0,-0.013740053690051695,0.028105062514081083,0.01547169681642139,-0.013301868802342506,2.0,4.0,0.07967478000520481,0.023869814561811618,0.018646816341011632,0.0433689677826917,0.024026528122322924,0.052568546635068734,0.04177943671196785,0.022939630387226097,0.036277637470757636,0.03200219032535797,Under,Over,0
1078,2.0,-0.013740053690051695,0.030266990399779627,0.013821382489336443,-0.01338500548235715,4.0,3.0,0.022115053005246958,0.007956604853937208,0.028326079785200874,0.014278398623840038,0.051485417404977696,0.022998739152842573,0.0402332188880355,0.0295720434169546,0.04242235889475359,0.027990916698416902,Over,Under,0
762,2.0,-0.011450044741709749,0.025016594105940305,0.013408803907565206,-0.011639135202049693,2.0,16.0,0.004544188973680883,0.030058285003762782,0.0569368437893485,0.046838485205307034,0.01029708348099554,0.026284273317534367,0.04013855249065189,0.03343588036546615,0.036339007971871215,0.033358836798820665,Over,Under,0
49,2.0,-0.009160035793367795,0.025943134628382537,-0.0144402503619933,0.00997640160175688,0.0,3.0,0.009088377947361764,0.041845847750336417,0.037578316900970014,0.03402795933718887,0.02059416696199108,0.04271194414099335,0.013442628428473036,0.036630391228408776,0.01872567415227731,0.037722105186443936,Under,Under,1
192,3.0,-0.04580017896683899,0.02872275619570924,0.009398886348292088,-0.013147452694908962,0.0,13.0,0.007876594221046864,0.01443976436455271,0.009109895006295759,0.03362763040381018,0.01029708348099554,0.026284273317534367,0.005743094774605852,0.05242040206523948,0.01075518032015272,0.03800810092949825,Over,Under,0
886,2.0,-0.03435013422512924,0.035208539852804865,0.032490563314484924,-0.028682154605051025,3.0,7.0,0.04786545718943863,0.021983159890022138,0.015799974151544206,0.024523076659816782,0.02059416696199108,0.024431155043941208,0.009624417067333982,0.025236350593062555,0.01630153935829139,0.026361480014506868,Under,Under,1
900,2.0,-0.0068700268450258475,0.035208539852804865,-0.012583646744022731,0.009311308161639754,3.0,8.0,0.006361864563153236,0.0114928736779093,0.028895448223094363,0.02415317898051445,0.037755972763650315,0.006571068329383592,0.025149706238246503,0.03142790210875936,0.031314298193197865,0.030344881660479214,Under,Over,0
198,2.0,-0.0045800178966838995,0.028413909354895163,0.009025184116947898,-0.012618124196766185,0.0,13.0,0.06755694274205579,0.00884067205993023,0.023913474391526367,0.02361940706934286,0.02059416696199108,0.04928301247037694,0.056673616566989625,0.05135556511092526,0.03932314858851843,0.04464466881319416,Over,Over,1
471,2.0,-0.02290008948341949,0.02532544094675438,0.02011320586134781,-0.01995280320351376,1.0,14.0,0.03938297110523431,0.0032415797553077517,0.034446790492555834,0.032826972537052794,0.013729444641327386,0.009856602494075387,0.04124299379346071,0.02427828255836396,0.03925410677476567,0.02803491604350217,Under,Over,0
